wtf? newest:  220174688, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220193120, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220212576, out: 3, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  3, out: 220207584, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220211760, out: 3, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219556400, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219611696, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220228144, out: 1, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  87, out: 8, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  8, out: 220235232, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220183904, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220202336, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  86, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  8, out: 220216800, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  89, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220201520, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220248624, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220377648, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  3, out: 220373472, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  220212576, out: 3, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219612512, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220228960, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  87, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  3, out: 220207584, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  219611688, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  89, out: 8, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220201512, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220248616, out: 3, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220377640, out: 3, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  3, out: 220373472, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  104, out: 8, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  220339760, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  8, out: 220235232, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  220183904, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220202336, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  86, out: 8, eta: 1.700000,  updateval: -0.490000 
wtf? newest:  8, out: 220216800, eta: -0.300000,  updateval: 1.043000 
wtf? newest:  104, out: 8, eta: 1.269939,  updateval: 0.000000 
wtf? newest:  220339752, out: 2, eta: 1.269939,  updateval: 0.000000 
wtf? newest:  219611688, out: 2, eta: 1.269939,  updateval: 0.000000 
wtf? newest:  104, out: 8, eta: 1.269939,  updateval: 0.000000 
wtf? newest:  8, out: 220382688, eta: -1.269939,  updateval: 0.888958 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  89, out: 8, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220201520, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220248624, out: 3, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220377648, out: 3, eta: 1.700000,  updateval: -0.490000 
wtf? newest:  3, out: 220373472, eta: -0.300000,  updateval: 1.043000 
wtf? newest:  220212576, out: 3, eta: 1.910000,  updateval: 0.147000 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219612512, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220228960, out: 1, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  87, out: 8, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  3, out: 220207584, eta: -0.090000,  updateval: 1.381100 
wtf? newest:  220377640, out: 3, eta: 1.888958,  updateval: 0.000000 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220248616, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220412456, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  3, out: 220373472, eta: -0.111042,  updateval: 1.322270 
wtf? newest:  104, out: 8, eta: 1.910000,  updateval: 0.147000 
wtf? newest:  220339760, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  8, out: 220235232, eta: -0.090000,  updateval: 1.381100 
wtf? newest:  111, out: 12, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  111, out: 8, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  8, out: 220456416, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220183904, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  220202336, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.910000 
